0 1:-0.598953 2:16.5336 3:-0.273171 4:12.3139 5:-0.207816 6:8.45972 7:-0.208625 8:7.20881 9:-0.267631 10:6.21599
0 1:-0.221313 2:6.17573 3:-0.347684 4:6.91876 5:-0.62835 6:12.6971 7:-0.319753 8:7.29471 9:-0.337082 10:6.19516
0 1:-0.309851 2:7.72654 3:-0.730505 4:13.8647 5:-0.294436 6:7.02963 7:-0.719804 8:15.299 9:-0.328382 10:9.81277
0 1:-0.317729 2:8.10237 3:-0.334382 4:6.73245 5:-0.454738 6:8.08352 7:-0.34001 8:8.59132 9:-0.367224 10:9.38402
0 1:-0.16516 2:5.177 3:-0.357797 4:11.2492 5:-0.0366665 6:3.07518 7:-0.581489 8:6.84125 9:-0.187955 10:4.3872
0 1:-0.0777538 2:4.8474 3:-0.521078 4:6.32091 5:-0.133098 6:7.60757 7:-0.315605 8:7.34466 9:-0.146741 10:4.37622
0 1:-0.288048 2:7.87781 3:-0.324446 4:7.49521 5:-0.308269 6:6.91559 7:-0.471258 8:10.3907 9:-0.287423 10:8.60416
0 1:-0.962628 2:8.0626 3:-0.255159 4:5.10109 5:-0.386779 6:14.5171 7:-0.276308 8:9.65348 9:-0.28784 10:8.00109
0 1:-0.228487 2:6.21634 3:-0.323002 4:9.42349 5:-0.109044 6:3.14246 7:-0.0330238 8:4.26763 9:-0.122755 10:4.59425
0 1:-0.492615 2:10.739 3:-0.510909 4:11.3807 5:-0.601748 6:10.196 7:-0.601728 8:11.095 9:-0.669752 10:10.5681
0 1:-0.625565 2:15.0957 3:-0.359282 4:8.52963 5:-0.451657 6:5.60178 7:-0.37782 8:5.02008 9:-0.545896 10:10.8074
0 1:-0.355361 2:6.00567 3:-0.257754 4:5.44163 5:-0.299386 6:4.232 7:-0.376406 8:5.82305 9:-1.06908 10:15.708
0 1:-0.37319 2:8.46822 3:-0.287277 4:5.52078 5:-0.307888 6:6.2281 7:-0.395374 8:5.88393 9:-0.463658 10:11.2142
0 1:-0.174233 2:4.47532 3:-0.485757 4:9.43142 5:-0.1935 6:3.3887 7:-0.410206 8:9.88653 9:-0.202483 10:5.50851
0 1:-0.250071 2:5.40473 3:-0.201222 4:4.69442 5:-0.396473 6:6.66486 7:-0.105281 8:3.79102 9:-0.498273 10:7.68124
0 1:-0.209826 2:4.93024 3:-0.210393 4:5.15555 5:-0.156504 6:4.47484 7:-0.171337 8:5.60882 9:-0.210885 10:3.86329
0 1:-0.283017 2:5.61808 3:-0.190163 4:5.22042 5:-0.322449 6:6.3709 7:-0.3492 8:7.81943 9:-0.176235 10:4.79361
0 1:-0.141002 2:4.59663 3:-0.195124 4:4.81301 5:-0.188296 6:5.79565 7:-0.122717 8:4.99392 9:-0.153327 10:4.49331
0 1:-0.27827 2:7.24029 3:-0.25537 4:6.93387 5:-0.155995 6:8.97302 7:-0.344893 8:3.25216 9:-0.431744 10:7.67053
0 1:-0.0598686 2:3.73102 3:-0.290872 4:3.31004 5:-0.185651 6:2.90775 7:-0.327562 8:6.15239 9:-0.259048 10:2.26296
0 1:-0.0537315 2:3.35763 3:-0.232411 4:4.53734 5:-0.109299 6:5.04853 7:-0.102013 8:4.52547 9:-0.0934461 10:3.4603
0 1:-0.0864033 2:5.47022 3:-0.258442 4:7.69875 5:-0.0898067 6:4.43362 7:-0.229756 8:7.79561 9:-0.233647 10:6.93214
0 1:-0.139569 2:4.45708 3:-0.318042 4:6.58581 5:-0.263419 6:6.58273 7:-0.280656 8:5.27751 9:-0.338109 10:3.95068
0 1:-0.215136 2:5.15785 3:-0.299405 4:8.67141 5:-0.175093 6:8.19279 7:-0.384726 8:7.87469 9:-0.358304 10:6.83624
0 1:-0.177284 2:9.02459 3:-0.241945 4:4.82634 5:-0.182143 6:4.60823 7:-0.334831 8:3.64127 9:-0.24639 10:3.78503
